,name,protein,calcium,fat,carbohydrates,vitamins
0,apple pie,1.77,0.0,15.0,54.0,0.0
1,baby back ribs,18.8,0.026,9.82,0.0,0.0
2,baklava,6.58,0.04,29.34,37.55,0.0013
3,beef carpaccio,5.0,0.0,65.0,10.0,0.0
4,beef tartare,17.45,0.028,15.6,0.34,0.0002
5,beet salad,1.32,0.018,5.29,11.0,0.4542
6,beignets,5.46,0.09,20.18,53.69,0.0011
7,bibimbap,5.5,0.025,2.44,8.11,0.0105
8,bread pudding,4.04,0.0,4.55,42.4,0.0
9,breakfast burrito,8.13,0.007,7.77,26.2,0.5342
10,bruschetta,4.29,0.05,7.61,21.32,0.0079
11,caesar salad,5.91,0.157,15.8,7.48,4.1465
12,cannoli,6.32,0.021,14.7,42.1,0.0
13,caprese salad,5.76,0.079,10.5,9.42,0.0
14,carrot cake,2.35,0.024,25.9,47.1,1.47
15,ceviche,10.53,0.022,0.76,3.58,0.018600000000000002
16,cheese plate,6.46,0.146,11.5,15.6,0.254
17,cheesecake,5.31,0.051,23.0,39.8,0.0
18,chicken curry,6.48,0.02,6.48,6.54,0.0089
19,chicken quesadilla,14.2,0.221,10.6,22.1,0.2661
20,chicken wings,18.6,0.0,18.6,0.0,0.0
21,chocolate cake,3.03,0.03,22.7,57.6,0.0
22,chocolate mousse,1.19,0.036,23.8,19.0,0.0007
23,churros,6.05,0.11,22.21,48.87,0.0012
24,clam chowder,3.67,0.041,8.57,6.53,0.4117
25,club sandwich,15.98,0.079,7.65,21.38,0.0001
26,crab cakes,14.2,0.111,16.8,7.08,0.0
27,creme brulee,4.06,0.115,2.83,17.85,0.0
28,croque madame,15.0,0.0,7.5,70.0,0.0
29,cup cakes,2.22,0.222,13.3,60.0,0.0
30,deviled eggs,10.7,0.0,25.0,0.0,0.714
31,donuts,3.51,0.175,17.5,61.4,0.0
32,dumplings,9.21,0.026,1.97,23.7,0.2693
33,edamame,11.8,0.059,4.71,7.06,0.0
34,eggs benedict,13.81,0.058,22.1,8.48,0.0014
35,escargots,19.99,0.013,6.91,2.48,0.0
36,falafel,8.28,0.086,41.19,28.96,0.0073
37,filet mignon,15.2,0.0,15.2,0.0,0.089
38,fish and_chips,11.0,0.016,16.2,21.7,0.018
39,foie gras,8.93,0.0,35.7,3.57,13.4
40,french fries,2.38,0.0,8.33,22.6,0.0029
41,french onion soup,4.21,0.088,3.51,6.32,0.1421
42,french toast,7.02,0.058,3.51,28.1,0.0
43,fried calamari,13.76,0.039,13.22,14.06,0.0029
44,fried rice,3.33,0.0,5.0,31.7,0.0
45,frozen yogurt,3.12,0.104,8.33,21.9,0.417
46,garlic bread,5.26,0.0,7.89,36.8,0.351
47,gnocchi,3.33,0.0,0.0,33.3,0.001
48,greek salad,1.88,0.031,4.7,4.08,4.0838
49,grilled cheese sandwich,11.5,0.224,12.8,31.4,0.0698
50,grilled salmon,18.1,0.034,3.45,0.86,0.087
51,guacamole,3.33,0.0,13.3,10.0,0.345
52,gyoza,3.33,0.0,0.0,33.3,0.0
53,hamburger,3.53,0.0,3.53,41.2,0.0
54,hot and sour soup,2.58,0.019,1.21,4.35,0.0
55,hot dog,19.3,0.035,14.0,1.75,0.2651
56,huevos rancheros,6.68,0.044,6.65,8.85,0.001
57,hummus,7.14,0.071,28.6,21.4,0.36560000000000004
58,ice cream,3.08,0.123,10.8,24.6,0.308
59,lasagna,5.53,0.092,4.15,10.1,0.006900000000000001
60,lobster bisque,2.86,0.061,12.2,6.53,0.4085
61,lobster roll sandwich,20.91,0.106,0.95,0.0,0.0
62,macaroni and cheese,3.4,0.038,3.4,14.3,0.0
63,macarons,10.0,0.083,23.3,53.3,0.0
64,miso soup,1.92,0.027,0.8,2.08,0.0
65,mussels,15.06,0.033,2.84,4.67,0.0081
66,nachos,11.2,0.061,13.33,19.87,0.0
67,omelette,1.6,0.008,0.8,11.2,0.0
68,onion rings,2.38,0.013,8.33,26.2,0.0
69,oysters,4.95,0.097,10.75,18.4,0.0018
70,pad thai,4.0,0.035,4.0,26.0,0.0
71,paella,13.3,0.067,3.33,82.2,1.338
72,pancakes,6.45,0.097,2.42,53.2,0.161
73,panna cotta,3.0,0.15,10.0,30.0,0.0
74,peking duck,5.32,0.009,11.76,6.47,0.012199999999999999
75,pho,5.81,0.009,3.33,5.6,0.001
76,pizza,6.8,0.102,8.84,32.0,0.1421
77,pork chop,18.37,0.015,9.04,7.82,0.0003
78,poutine,10.3,0.129,6.9,69.0,0.0
79,prime rib,0.0,0.0,0.0,0.0,0.0
80,pulled pork sandwich,13.2,0.044,4.42,18.7,0.2642
81,ramen,12.7,0.036,2.73,63.6,0.7281
82,ravioli,12.1,0.248,7.09,23.4,0.284
83,red velvet cake,31.2,0.156,9.38,43.8,0.0
84,risotto,12.9,0.0,1.43,109.0,0.0
85,samosa,5.14,0.033,17.47,33.16,0.0004
86,sashimi,19.7,0.0,0.34,4.08,0.0
87,scallops,15.2,0.023,0.89,2.68,0.0
88,seaweed salad,0.0,0.143,5.36,28.6,0.3613
89,shrimp and grits,8.38,0.037,7.33,7.85,0.0
90,spaghetti bolognese,6.09,0.046,6.6,7.61,0.0
91,spaghetti carbonara,18.0,0.2,10.0,58.0,0.6
92,spring rolls,3.71,0.0,1.11,27.1,0.0
93,steak,0.0,0.0,0.0,111.0,0.0
94,strawberry shortcake,2.96,0.044,13.3,31.1,0.30269999999999997
95,sushi,2.92,0.006,0.67,18.39,0.0009
96,tacos,6.69,0.095,9.17,15.1,0.062
97,octopus balls,13.25,0.055,12.96,13.39,0.003
98,tiramisu,5.65,0.065,23.86,29.44,0.0011
99,tuna tartare,17.45,0.028,15.6,0.34,0.0002
100,waffles,2.86,0.0,10.0,48.6,0.0
